Loop Gain dB20 (r_load=12000) X,Loop Gain dB20 (r_load=12000) Y
61955.40608875836,27.49082734258831
63384.08101544804,27.2926187305863
64845.70079997995,27.09440131726028
66341.02514187564,26.89617469313738
67870.83125912237,26.69793842972851
69435.91429214421,26.49969207865025
71037.08771708864,26.3014351707067
72675.18376864328,26.10316721492956
74351.05387260286,25.90488769757393
76065.56908841089,25.70659608106915
77819.62056190633,25.50829180292089
79614.11998851041,25.30997427456429
81450.00008709452,25.11164288016458
83328.21508477522,24.91329697536303
85249.74121288859,24.71493588596678
87215.57721440158,24.5165589065789
89226.74486302413,24.31816529916689
91284.28949429191,24.11975429156661
93389.28054889562,23.92132507591879
95542.8121285394,23.72287680703526
97746.00356461707,23.52440860069239
100000.000000002,23.32591953184748
102305.9729842529,23.12740863277608
104665.1210825448,22.92887489112597
107078.6704986417,22.73031724788476
109547.8757122354,22.53173459525733
112074.0201309803,22.33312577444932
114658.4167575645,22.13448957335273
117302.4088721637,21.93582472412987
120007.3707306313,21.73712990069106
122774.7082787894,21.53840371606211
125605.8598831911,21.33964471963687
128502.2970787335,21.14085139431048
131465.5253335109,20.94202215348835
134497.0848313051,20.74315533796609
137598.5512721199,20.54424921267525
140771.5366911756,20.34530196328996
144017.6902967889,20.14631169268861
147338.6993275749,19.94727641726567
150736.2899294154,19.74819406308753
154212.2280526498,19.54906246188709
157768.3203699552,19.34987934689077
161406.4152153927,19.15064234847224
165128.4035451074,18.95134898962657
168936.2199201823,18.75199668125878
172831.8435121564,18.55258271728011
176817.2991317294,18.35310426950602
180894.6582811891,18.15355838234902
185066.0402311062,17.95394196730043
189333.6131218584,17.75425179719345
193699.5950905545,17.55448450024213
198166.255423946,17.35463655384885
202735.9157379237,17.15470427817417
207410.9511842138,16.95468382946238
212193.7916848995,16.75457119311661
217086.9231954108,16.55436217651714
222092.8889966384,16.35405240157681
227214.2910168431,16.15363729702795
232453.7911840487,15.95311209043516
237814.1128096197,15.75247179992896
243298.0420037454,15.55171122565524
248908.4291235631,15.35082494093658
254648.1902546756,15.14980728314164
260520.3087268322,14.94865234425924
266527.8366645598,14.74735396117539
272673.8965735529,14.54590570565116
278961.6829636431,14.34430087400117
285394.4640091963,14.14253247647317
291975.5832477959,13.94059322633028
298708.4613180989,13.73847552863892
305596.5977377658,13.53617146876705
312643.5727223884,13.33367280059864
319853.0490463634,13.13097093447241
327228.7739466752,12.92805692485469
334774.5810705808,12.72492145775846
342494.3924682074,12.52155483792314
350392.2206310984,12.31794697577191
358472.1705777682,12.11408737416687
366738.4419873492,11.90996511498465
375195.33138244,11.70556884553874
383847.2343622895,11.50088676487899
