Loop Gain Phase (r_load=120) X,Loop Gain Phase (r_load=120) Y
1542.122280526484,91.54790147414425
1577.683203699538,91.51354714388096
1614.064152153913,91.47997807305599
1651.284035451059,91.44717690805065
1689.362199201808,91.41512668821453
1728.318435121548,91.38381083733277
1768.172991317278,91.3532131554916
1808.946582811875,91.32331781096178
1850.660402311046,91.29410933229472
1893.336131218567,91.26557260062765
1936.995950905528,91.23769284213246
1981.662554239442,91.21045562055293
2027.359157379219,91.18384683000481
2074.10951184212,91.15785268787019
2121.937916848977,91.13245972782335
2170.86923195409,91.10765479313123
2220.928889966365,91.08342502986278
2272.142910168412,91.0597578805514
2324.537911840467,91.03664107770375
2378.141128096177,91.01406263768223
2432.980420037434,90.99201085457949
2489.08429123561,90.97047429419028
2546.481902546735,90.94944178838581
2605.2030872683,90.92890242926855
2665.278366645577,90.90884556370756
2726.738965735506,90.88926078780734
2789.616829636408,90.87013794171511
2853.944640091939,90.85146710432585
2919.755832477935,90.83323858834973
2987.084613180965,90.81544293517129
3055.965977377632,90.79807091014808
3126.435727223858,90.78111349787022
3198.530490463607,90.76456189744384
3272.287739466724,90.74840751809545
3347.74581070578,90.73264197467493
3424.943924682045,90.71725708339847
3503.922206310954,90.70224485763545
3584.721705777652,90.687597503804
3667.384419873461,90.67330741733358
3751.953313824368,90.6593671788137
3838.472343622863,90.64576955010686
3926.986478874747,90.63250747065261
4017.541726172783,90.61957405387979
4110.185153009333,90.60696258354727
4204.964912240418,90.59466651039851
4301.93026711391,90.58267944868324
4401.131616874868,90.57099517295406
4502.620522961325,90.55960761477508
4606.449735804148,90.54851085966025
4712.673222244887,90.53769914393963
4821.346193585879,90.52716685187032
4932.525134287176,90.51690851266419
5046.267831325222,90.50691879770856
5162.633404228523,90.49719251778885
5281.682335805944,90.48772462037411
5403.476503583578,90.47851018709738
5528.079211966558,90.46954443113205
5655.555225142495,90.46082269470733
5785.970800743669,90.4523404467768
5919.393724285462,90.4440932805969
6055.893344398925,90.43607691147155
6195.54060887581,90.42828717456464
6338.408101544777,90.42072002269217
6484.570079997968,90.4133715242512
6634.102514187535,90.40623786119741
6787.083125912207,90.39931532704259
6943.591429214391,90.3926003249363
7103.708771708833,90.38608936583752
7267.518376864296,90.37977906665459
7435.105387260253,90.3736661485206
7606.556908841055,90.36774743511012
7781.962056190597,90.36201985094361
7961.411998851005,90.35648041984525
8145.000008709415,90.35112626336102
8332.821508477484,90.34595459929818
8524.97412128882,90.3409627402508
8721.557721440118,90.33614809222847
8922.674486302372,90.33150815330787
9128.42894942915,90.32704051231816
9338.92805488952,90.32274284761664
9554.281212853897,90.31861292587273
9774.600356461664,90.31464860088521
10000.00000000016,90.31084781251366
10230.59729842525,90.30720858557561
10466.51210825443,90.30372902883632
10707.86704986412,90.30040733401457
10954.78757122349,90.29724177486098
11207.40201309798,90.29423070625256
11465.8416757564,90.29137256333925
11730.24088721632,90.28866586072392
12000.73707306308,90.28610919171059
12277.47082787889,90.28370122755979
12560.58598831906,90.28144071679655
12850.22970787329,90.27932648456027
13146.55253335103,90.27735743201838
13449.70848313045,90.27553253575451
13759.85512721193,90.27385084727142
14077.1536691175,90.27231149248229
14401.76902967883,90.27091367125821
14733.86993275743,90.26965665701171
15073.62899294147,90.26853979632443
15421.22280526491,90.26756250860184
15776.83203699545,90.26672428576947
16140.6415215392,90.2660246920148
16512.84035451067,90.26546336355575
16893.62199201816,90.26504000844965
17283.18435121556,90.26475440644447
17681.72991317287,90.26460640886074
18089.46582811883,90.26459593851553
18506.60402311055,90.26472298967673
18933.36131218576,90.26498762806527
19369.95950905537,90.26538999087663
19816.62554239451,90.26593028687063
20273.59157379229,90.26660879645209
20741.0951184213,90.26742587183853
21219.37916848987,90.26838193722359
21708.692319541,90.26947748900399
22209.28889966376,90.27071309603556
22721.42910168423,90.27208939991939
23245.37911840478,90.27360711534367
23781.41128096188,90.27526703044005
24329.80420037445,90.27707000719576
24890.84291235621,90.27901698189967
25464.81902546747,90.28110896561974
26052.03087268312,90.28334704472977
26652.78366645589,90.28573238146683
27267.38965735518,90.28826621453038
27896.16829636421,90.29094985971865
28539.44640091952,90.29378471061405
29197.55832477947,90.29677223929259
29870.84613180978,90.29991399709235
30559.65977377645,90.30321161540141
31264.35727223871,90.30666680650725
31985.30490463621,90.31028136447837
32722.87739466738,90.3140571660808
33477.45810705794,90.31799617175443
34249.4392468206,90.32210042661296
35039.22206310969,90.32637206150442
35847.21705777667,90.33081329410226
36673.84419873476,90.33542643004419
37519.53313824384,90.34021386412788
38384.72343622879,90.3451780815265
39269.86478874764,90.35032165908164
40175.417261728,90.35564726661556
41101.8515300935,90.36115766830414
42049.64912240436,90.36685572410137
43019.30267113928,90.37274439119565
44011.31616874886,90.37882672553758
45026.20522961344,90.3851058833977
46064.49735804168,90.39158512298633
47126.73222244907,90.39826780612196
48213.46193585899,90.4051573999472
49325.25134287197,90.41225747870918
50462.67831325243,90.41957172557711
51626.33404228545,90.42710393452943
52816.82335805965,90.43485801228687
54034.765035836,90.44283798030253
55280.79211966581,90.45104797681725
56555.55225142519,90.45949225895893
57859.70800743693,90.46817520491106
59193.93724285486,90.47710131613955
60558.9334439895,90.48627521967246
61955.40608875836,90.49570167045326
63384.08101544804,90.50538555374546
64845.70079997995,90.51533188760756
66341.02514187564,90.52554582542614
67870.83125912237,90.53603265852242
